Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Parcel
1330 FITZGERALD AVENUE,,1330 Fitzgerald St,San Francisco,San Francisco,CA,94124,37.722277,-122.393604,87080,,,2014,,,,,,,,,,4912/006
1315 EGBERT AVE,,1315 EGBERT AVE,San Francisco,San Francisco,CA,94124,37.721894,-122.391278,10000,,,2014,,,,,,,,,,4913/018
5 THOMAS MELLON CIR,,5 THOMAS MELLON CIR,San Francisco,San Francisco,CA,94134,37.710115,-122.392951,100000,,,2014,98,31.9,78.5,35.2,81.9,,,230.5,,4991/075
250 EXECUTIVE PARK BLVD,,250 EXECUTIVE PARK BLVD,San Francisco,San Francisco,CA,94134,37.711198,-122.391797,112390,,,2014,89,43.9,122.3,43.9,122.3,,,378.5,,4991/085
150 EXECUTIVE PARK BLVD,,150 EXECUTIVE PARK BLVD,San Francisco,San Francisco,CA,94134,37.711257,-122.393181,102294,,,2014,93,38.7,97.5,39,95.7,,,289.2,,4991/086
50 Quint Street,,50 QUINT ST,San Francisco,San Francisco,CA,94124,37.746049,-122.38856,15000,,,2014,,,,,,,,,,5201/001
330 NEWHALL ST,,330 NEWHALL ST,San Francisco,San Francisco,CA,94124,37.742501,-122.386031,45108,,,2014,,,,,,,,,,5203/035
1500 BURKE AVE,,1500 BURKE AVE,San Francisco,San Francisco,CA,94124,37.743892,-122.385016,15000,,,2014,,,,,,,,,,5203/038
220 NEWHALL ST,,220 NEWHALL ST,San Francisco,San Francisco,CA,94124,37.742474,-122.384513,42300,,,2014,,,,,,,,,,5203/040
Plant - 300 Newhall Street,,1525 BURKE AVE,San Francisco,San Francisco,CA,94124,37.743892,-122.385015,61150,,,2014,77,29.8,80.1,32.2,82.6,,,137.5,,5203/041
Independent Electric Supply,,1575 BURKE AVE,San Francisco,San Francisco,CA,94124,37.744583,-122.386275,36480,,,2014,62,14.6,44.2,14.6,44.2,,,42.6,,5203/043
375 NEWHALL ST,,375 NEWHALL ST,San Francisco,San Francisco,CA,94124,37.742318,-122.386233,42200,,,2014,1,707.7,880.1,707.7,880.1,,,1664.9,,5203/061
1555 Burke Ave,,1555 Burke Ave,San Francisco,San Francisco,CA,94124,37.744183,-122.385547,44160,,,2014,,,,,,,,,,5203/067
3450 3RD ST #1 D,,3450 3RD ST #1 D,San Francisco,San Francisco,CA,94124,37.745779,-122.38723,11274,,,2014,,,,,,,,,,5211/031
