Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
21808-Philadelphia / Ridge AVE,Non-Refrigerated Warehouse,7571 Ridge Avenue,Philadelphia,Philadelphia,PA,19128,40.050736,-75.236168,70581,,2000,2014,98,8.7,27.3,,,,,82,2.18189031,3800034,884083200
08128-Airport,Non-Refrigerated Warehouse,7000 Lindbergh,Philadelphia,Philadelphia,PA,19153,,,98825,,2000,2014,100,2.3,7.3,,,,,30.7,0.971414116,3800035,884161920
24232-Philadelphia / Grant Avenue,Non-Refrigerated Warehouse,2700 Grant Avenue,Philadelphia,Philadelphia,PA,19114,,,111150,,2000,2014,100,1.7,5.3,,,,,25,0.287899235,3800036,884223000
24417-Philadelphia / Tacony Street,Non-Refrigerated Warehouse,6301 Tacony Street,Philadelphia,Philadelphia,PA,19135,,,50050,,2000,2014,100,3.1,9.6,,,,,20.6,0.599400599,3800037,884178700
29145-Philadelphia / Wheatsheaf Lane,Non-Refrigerated Warehouse,2190 Wheatsheaf Lane,Philadelphia,Philadelphia,PA,19137,39.999938,-75.091718,67600,,2000,2014,96,19.4,34.6,,,,,106.8,0.162721893,3800038,884204500
63636-Philadelphia / Penns Landing,Non-Refrigerated Warehouse,456 N Columbus Ave used to be Deleware,Philadelphia,Philadelphia,PA,19123,,,59000,,2000,2014,100,2,6.4,,,,,16.2,1.457627119,3800039,884019025
11600 Caroline Rd.,Non-Refrigerated Warehouse,11600 Caroline Rd.,Philadelphia,Philadelphia,PA,19154,40.096316,-75.005304,100000,,1974,2014,66,22.4,49.6,,,,,219.8,8.618,3877086,884269500
Serous Hasani,Non-Refrigerated Warehouse,7575 Brewster Ave,Philadelphia,Philadelphia,PA,19153,39.903521,-75.231576,164173,,1980,2014,79,29.3,62.1,,,,,454.3,0.026191883,3878427,884165000
ttfop,Non-Refrigerated Warehouse,2901 N 18th st,Philadelphia,Philadelphia,PA,19132,,,59301,,1940,2014,93,6,14.5,,,,,36.7,2.654255409,3882229,111210310
Philadelphia-Lancaster Ave RC,Non-Refrigerated Warehouse,3205 Lancaster Avenue,Philadelphia,Philadelphia,PA,19104,,,84798,,1916,2014,48,58.7,107.5,,,,,439.6,3.398665063,3883583,774520500
Building 22,Non-Refrigerated Warehouse,5101 South 17th Street,Philadelphia,Philadelphia,PA,19112,,,66092,,1907,2014,1,31.2,98,,,,,276.2,,3891456,788008800
Pier 38 South/40 South,Non-Refrigerated Warehouse,801 S. Columbus Blvd,Philadelphia,Philadelphia,PA,19148,,,715000,,1930,2014,,5.3,8.6,,,,,286.4,1.722517483,3891490,884018736
Pier 78 South,Non-Refrigerated Warehouse,1989 S. Columbus Blvd,Philadelphia,Philadelphia,PA,19148,39.922233,-75.142136,362000,,1930,2014,,7.1,22.2,,,,,342.9,2.440883978,3891494,884463820
Pier 74 Annex,Non-Refrigerated Warehouse,1901 S. Columbus Blvd,Philadelphia,Philadelphia,PA,19148,39.923416,-75.142916,115000,,2007,2014,70,7.1,22.4,,,,,110,,3891496,771528000
Pier 78 South Annex,Non-Refrigerated Warehouse,2001 S. Columbus Blvd,Philadelphia,Philadelphia,PA,19148,39.92214,-75.142075,208000,,1996,2014,95,4.2,13.1,,,,,116.1,0.191826923,3891499,884463830
4309 G Street,Non-Refrigerated Warehouse,4309 G Street,Philadelphia,Philadelphia,PA,19124,40.014255,-75.111699,71509,,1950,2014,68,21.6,58.9,,,,,182.2,8.040945895,3892818,884114510
449 East Tioga St,Non-Refrigerated Warehouse,449 East Tioga St,Philadelphia,Philadelphia,PA,19134,40.002014,-75.119491,337200,,1960,2014,100,5,13.9,,,,,201.7,0.197508897,3892821,884047000
1196 Adams Ave,Non-Refrigerated Warehouse,1196 Adams Ave,Philadelphia,Philadelphia,PA,19124,40.015549,-75.093662,68632,,1850,2014,90,5.4,13.5,,,,,40.4,2.205968062,3892824,884641200
215-251 West Erie Ave.,Non-Refrigerated Warehouse,215-251 West Erie Ave.,Philadelphia,Philadelphia,PA,19140,,,95928,,1950,2014,74,8.4,25.4,,,,,104.1,0.179301143,3892828,884040500
4219 Richmond St,Non-Refrigerated Warehouse,4219 Richmond St,Philadelphia,Philadelphia,PA,19137,,,65490,,1950,2014,10,29.3,92,,,,,256.9,6.752175905,3892829,884209600
3820 N. 2nd Ave,Non-Refrigerated Warehouse,3820 N. 2nd Ave,Philadelphia,Philadelphia,PA,19140,,,89550,,1950,2014,74,8.7,27.3,,,,,104.2,0.100502513,3892830,884038510
Origlio Property Holding,Non-Refrigerated Warehouse,3000 Meeting House Road,Philadelphia,Philadelphia,PA,19154,,,268000,,2001,2014,100,13.6,14.5,,,,,195.7,2.890671642,3912799,884292800
2800 Comly Rd.,Non-Refrigerated Warehouse,2800-48 Comly Rd,Philadelphia,Philadelphia,PA,19154,,,92000,,1981,2014,38,88.6,113.4,,,,,505.5,2.794565217,3958048,884290000
10195 Northeast Ave.,Non-Refrigerated Warehouse,10195 Northeast Ave.,Philadelphia,Philadelphia,PA,19116,40.105695,-75.023006,50000,,1969,2014,67,38.4,56.5,,,,,133.2,0.666,3958050,884239600
COFCO - 2400,Non-Refrigerated Warehouse,2400-10 NORTH AMERICAN STREET,Philadelphia,Philadelphia,PA,19133,,,59850,,1920,2014,78,11.2,15.2,,,,,43.6,0.675020886,3958052,884604601
"9300 Ashton Rd,",Non-Refrigerated Warehouse,"9300 Ashton Rd., Units 2 and 3",Philadelphia,Philadelphia,PA,19114,40.067297,-75.017862,77576,,1970,2014,98,7.2,16.3,,,,,55.9,2.027688976,3958054,884227015
10350 Drummond Rd.,Non-Refrigerated Warehouse,10360 Drummond Rd,Philadelphia,Philadelphia,PA,19154,40.082744,-74.996586,99000,,1973,2014,45,42.2,93.4,,,,,409.7,3.764646465,3958313,884283501
Warehouse,Non-Refrigerated Warehouse,884219050,Philadelphia,Philadelphia,PA,19131,,,56976,,1950,2014,83,5.2,14.1,,,,,34.8,0.768744735,3958558,884219050
Mar Vick Bren INC,Non-Refrigerated Warehouse,5101-49 unruh ave.,Philadelphia,Philadelphia,PA,19135,,,125000,,1950,2014,,5.3,15.2,,,,,81.8,0.3256,3963466,884180500
SOMERSET WAREHOUSE,Non-Refrigerated Warehouse,2801-31 A ST,Philadelphia,Philadelphia,PA,19134,,,65000,,1945,2014,99,7.9,14.6,,,,,43,0.138461538,3963906,884340880
13451 Damar Drive,Non-Refrigerated Warehouse,13451 Damar Drive,Philadelphia,Philadelphia,PA,19116,40.121837,-74.998688,66600,,1996,2014,91,15.9,43.7,,,,,125.7,2.433933934,3965369,884244700
275 Geiger Rd.,Non-Refrigerated Warehouse,275 Geiger Rd.,Philadelphia,Philadelphia,PA,19006,,,77500,,1984,2014,47,49.5,84.4,,,,,300.9,15.64,3966762,884228000
10981 Decatur Rd.,Non-Refrigerated Warehouse,10981 Decatur Rd.,Philadelphia,Philadelphia,PA,19154,40.093853,-74.989236,250000,,1975,2014,74,25.1,50,,,,,561.5,3.2592,3966792,884280000
