Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2)
Royalston Maintenance Facility,"Repair Services (Vehicle, Shoe, Locksmith, etc)",661 5th Avenue North,Minneapolis,Hennepin,MN,55405,,,71029,,1998,2014,,111.3,159.1,98.9,145.1,,,622.2,
TAD 4 Ramp,Parking,318 2nd Avenue North,Minneapolis,Hennepin,MN,55403,,,450000,,1993,2014,,32.8,69.3,30.3,65.9,,,1927.2,
TAD 5 Ramp,Parking,516 2nd Avenue North,Minneapolis,Hennepin,MN,55403,,,618000,,1989,2014,,22.3,49.2,21.2,47.8,,,1894.7,
TAD 7 Ramp,Parking,101 North 9th Street,Minneapolis,Hennepin,MN,55403,,,1650000,,1991,2014,,9.8,26,9.5,25.6,,,2753.5,
Maintenance Facility (300 Border),Other - Public Services,300 Border Avenue,Minneapolis,Hennepin,MN,55405,,,61416,,1962,2014,,62,117.5,58.8,114.1,,,436.7,
Vineland (Walker) Ramp,Parking,727 Vineland,Minneapolis,Hennepin,MN,55403,,,115000,,2004,2014,,29.9,72.7,29.1,71.9,,,529,
Water Treatment and Distribution Campus,Drinking Water Treatment & Distribution,4500 Marshall Street NE,Minneapolis,Hennepin,MN,55421,,,650000,,1930,2014,,348.7,792,338,780.8,,,32206.8,
1800 Chicago,Office,1800 Chicago S.,Minneapolis,Hennepin,MN,55404,,,102815,,1996,2014,87,84.1,145.7,79.3,140.8,,,889,
Central Library,Other,300 Nicolet Mall,Minneapolis,Hennepin,MN,55401,,,559507,,2004,2014,,52.5,117.4,49.3,113.6,,,3146.2,
Century Plaza,Office,330 south 12th st,Minneapolis,Hennepin,MN,55404,,,984242,,1934,2014,100,33.7,74.5,32,72.2,,,2763.2,
Family Justice Center,Courthouse,110 S. 4th St.,Minneapolis,Hennepin,MN,55415,,,227422,,1956,2014,97,57.7,115.8,55.1,113,,,1612.6,
Forensic Sciences Building,Office,530 Chicago Avenue South,Minneapolis,Hennepin,MN,55415,,,62602,,1974,2014,,247.4,368,230.1,347.2,,,1346.7,
Government Center,Courthouse,300 S. Sixth,Minneapolis,Hennepin,MN,55487,,,1255134,,1974,2014,79,103.2,196.7,98.3,189.9,,,13118.4,
Health Services Building,Office,525 Portland Ave South,Minneapolis,Hennepin,MN,55415,,,198739,,1989,2014,99,54,102,50.7,98.1,,,1242.2,
Hennepin County Medical Center,Hospital (General Medical & Surgical),701 Park Avenue,Minneapolis,Hennepin,MN,55415,,,2905169,,1976,2014,92,182.6,271.5,178.5,266.4,,,38197.2,
Juvenile Justice Center/Detention Center,Prison/Incarceration,626 S. Sixth,Minneapolis,Hennepin,MN,55415,,,199219,,1983,2014,,85.2,154.2,81.9,150.3,,,1868.7,
North Point Health and Wellness,Medical Office,1313 Penn Ave N,Minneapolis,Hennepin,MN,55411,,,67205,,1995,2014,83,66.1,153,64.3,151.1,,,645.4,
North Regional Library,Other,1315 Lowry Avenue North,Minneapolis,Hennepin,MN,55411,,,38993,,1971,2014,,75,136.9,68,128.7,,,320.6,
Public Safety Facility,Prison/Incarceration,401 4 Ave South,Minneapolis,Hennepin,MN,55415,,,432776,,2001,2014,,128.8,209.7,123.9,203.8,,,4763.6,
Whittier Clinic,Medical Office,2810 Nicollet Ave. South,Minneapolis,Hennepin,MN,55415,,,85034,,2008,2014,28,154.7,319.4,150.6,315,,,1164.4,
Armatage Park,Fitness Center/Health Club/Gym,2500 57th St W,Minneapolis,Hennepin,MN,55410,,,7097,,1978,2014,,112.6,177.1,100.1,162,,,72.9,
Audubon Park,Other - Entertainment/Public Assembly,1320 29th Ave NE,Minneapolis,Hennepin,MN,55418,,,6177,,1978,2014,,110.8,175.3,104.2,168.4,,,62.9,
Bottineau Park,Fitness Center/Health Club/Gym,2000 2nd St NE,Minneapolis,Hennepin,MN,55418,,,13760,,2001,2014,,108.5,163,95.4,149.2,,,128.5,
Brackett Park,Other - Entertainment/Public Assembly,2728 39th Ave S,Minneapolis,Hennepin,MN,55406,,,5300,,1979,2014,,59.8,122.2,54.8,115.9,,,39.8,
Bryant Square Park,Other - Entertainment/Public Assembly,3101 Bryant Ave S,Minneapolis,Hennepin,MN,55408,,,6300,,1970,2014,,81.5,164,75.1,155.8,,,63.3,
Corcoran Park,Other - Entertainment/Public Assembly,3332 20th Ave S,Minneapolis,Hennepin,MN,55407,,,5855,,1977,2014,,132.6,211,118.1,195.8,,,71.9,
Creekview Park,Other - Entertainment/Public Assembly,5001 Irving Ave N,Minneapolis,Hennepin,MN,55430,,,6068,,1976,2014,,93.7,145.9,87.3,138.7,,,51.2,
East Phillips Park,Other - Entertainment/Public Assembly,2307 17th Ave S,Minneapolis,Hennepin,MN,55404,,,14564,,2010,2014,,95.9,158.7,88.7,150.7,,,135.8,
Elliot Park,Other - Entertainment/Public Assembly,1000 14th St E,Minneapolis,Hennepin,MN,55404,,,7215,,1961,2014,,106.2,172.5,93.4,158.1,,,72.8,
Farview Park,Other - Entertainment/Public Assembly,621 29th Ave N,Minneapolis,Hennepin,MN,55411,,,18688,,1976,2014,,108.3,196.1,98.3,185.6,,,219.7,
Folwell Park,Other - Entertainment/Public Assembly,1615 Dowling Ave N,Minneapolis,Hennepin,MN,55412,,,13370,,2001,2014,,71.9,177.1,68.8,173.8,,,150,
